code|name|misc|description
UCS11|Chamber Choir|By audition only.|The chamber choir is open to students who would enjoy and benefit from a small vocal ensemble. Students of all ages are encouraged to audition for the choir, especially those students whose voices have matured later in high school (i.e., juniors and seniors). Successful completion of three semesters in the Chamber Choir fulfills the music appreciation requirement for graduation.
UDS11Q3|Symphonic Band|By audition only.|This course is for students who are accomplished on wind, brass or percussion instruments.
UDS11Q8|Beginning Wind/Brass Techniques|For in-coming students only.|This is a one-year course is for incoming freshmen who wish to learn to play a band instrument.
UDS11Q4|Intermediate Wind/Brass Techniques|By audition only.|This one-year course is the entering level for students selected to be in the band program.
UDS11Q2|Advanced Wind/Brass Techniques|By audition only.|This one-year course is the intermediate level for students in the band program.
UYS11|Symphony Orchestra|By audition only.|This course is for students who are accomplished on violin, viola, cello or doublebass.
UZS32|Intermediate String Techniques|By audition only.|This is a one-year course is the entering level for students selected to be in the orchestra (string) program.
UZS33|Advanced String Techniques|By audition only.|This is a one-year course is the intermediate level for students in the orchestra (string) program
UJS11|Jazz Band|By audition only.|This is a course for students in the instrumental music program who wish to participate in Jazz Band.
UUS21X & UUS22X|AP Music Theory|By application. Band or orchestra a co-requisite or approval of the Music Chairperson.|This course is aimed at students who already know some music theory: The student should be able to read treble and bass clef. In addition, the student should know all the major and minor scales, intervals, time signatures and have a basic knowledge of harmony.Keyboard skills are optional but definitely a plus.
HGS41 & HGS42|Global History 1 & 2|Full-year course.|This is the required Social Studies course for students in the ninth grade.
HPS21X & HPS22X|AP Human Geography|Full-year course.|AP Human Geography is a year-long college level course designed for students entering the 9th grade. Students who are interested in history, geography and cultural anthropology are encouraged to apply.
HGS43 & HGS44|Global History 3 & 4|Full-year course.|This is the required Social Studies course for students in the tenth grade.
HGS43XW & HGS44XW|AP World History|Full-year course. By application.|Students who have completed Global 1 and 2 or AP Human Geography and who are interested in an advanced course in World History.
HGS43XE & HGS44XE|AP European History|Full-year course. By application.|Advanced Placement European History is a year long college level course designed for students entering the 10th grade. Students who are interested in history, philosophy and the arts are encouraged to apply.
HUS21 & HUS22|U.S. History|Fall term.|This is a required course that is normally taken during the junior. Students who come to Stuyvesant with advanced standing in Social Studies may take this course as sophomores.
HUS21X & HUS22X|AP U.S. History|Full-year course. By application.|AP United States History is a year-long course designed for those students entering the 11th grade.
HVS11|American Government|Single-term course.|American Government is a required course for all seniors. Interested students may take Participation in Government Through Civic Engagement H7VI in lieu of H7V.
HVS11X|AP American Government|Fall term only. By application.|Students who are interested in politics and are not afraid of hard work. Students should be excellent in social studies.
HTS11X|AP Comparative Government|Spring term only. H7V or H7PX a pre- or corequisite. By application the previous Spring.|Students who have taken or are presently enrolled in H7V, American Government, or H7PX, A.P. American Government, and who are interested in the world's diverse political structures and practices.
HES11|Economics|Single-term.|This is a required course that is taken after fulfilling the Global Studies and United States History requirement.
HVS11XG & HES11XG|AP US Government and Politics Integrated with Economics|Seniors only. By application.|This course deals with the dynamics of politics in America. We will be studying the American political system at the national, state and local levels. Included will be a study of  lobbies, forms of political participation, elections, political parties, and national political institutions: The Presidency, The Congress, The Judiciary. This course will also cover all of the topics covered in the stand alone Economics course and satisfies the Economics requirement needed for graduation.
HES21X|AP Macroeconomics|Fall term only. By application|• Students may apply for both AP Macroeconomics and AP Microeconomics. Students who take both of these courses will, of necessity, be doubling up in Social Studies during the semester when they will also be studying American Government.
HES22X|AP Microeconomics|Spring term only. AP Macroeconomics a prerequisite. By application.|• Students may apply for both AP Macroeconomics and AP Microeconomics. Students who take both of these courses will, of necessity, be doubling up in Social Studies during the semester when they will also be studying American Government.
HRS11QGP|Geopolitics|Single-term course. Sophomore, Juniors & Seniors.|Sophomores, Juniors, and Seniors who are interested in politics, geography, global  relations, and the future. Students should also have a curiosity about  globalization; world economics; military strategy; religion; disease,  migration, and the preservation/destruction of natural environments.
HSS85QJI, HSS86QJI, and HSS87QJI|Intel Research Social Science|Not offered at this time.|Students interested in theories and methods of social science and students interested in submitting papers to the Intel Science Talent Search and other prestigious contests. This course is limited to Juniors in the Fall and Spring Term, and Seniors in the Fall Term. HS7RA is a two-period a day class.
HRS11QSS|Intelligence and Security Studies|Single term course. Juniors & Seniors.|Sophomore, Juniors and Seniors who are interested in learning about the history of intelligence agencies in the United States with a focus on the Central Intelligence Agency (CIA)
HRS11QMC|Modern China|Sophomores, Juniors, & Seniors.|Any student who is interested in modern China, its culture, traditions, and history.
HRS11QNY|New York City History|Spring term only. Juniors & Seniors.|Students with an intense desire to learn how New York City became the diverse metropolis it is today.
HL22QQL|Topics in Law|Full-year course. Juniors & Seniors.|The difference between civil and criminal law. Understanding the role of the lawyer in society. Torts, First Amendment Law, Discrimination Law, Sexual Harassment. There will be an in-class trial.
HRS11QEJ|Wanderings: The World Through The Jewish Experience|Fall term only. Sophomores, Juniors, Seniors.|Some central questions we will examine are: How was Judaism a revolutionary religion? How did the Diaspora affect the Jewish people and the religion? What was the nature of the reciprocal relationship in which Judaism took, learned, and borrowed from the civilizations of other peoples while simultaneously contributing to those civilizations? Considering the minute Jewish global demographic, why have there been so many Jewish geniuses from Einstein to Kafka to Freud? What accounts for the rise of anti-Judaism and its modern counterpart, political and racial anti-semitism? We will also look at the diversity of the Diaspora, ranging from Iraqi and Ethiopian Jews to the Jews of Central Asia.
HRS21QPT & HRS22QPT|Western Political Thought|Full-year course. Juniors & Seniors.|Sophomores, Juniors and Seniors who are interested in learning about the foundational thinkers and texts of western political thought should sign up for this year-long course.
HBS21X/HBS22X|AP Social Psychology|Full year course. Juniors & Seniors.|AP Psychology is a yearlong college level course for 11th and 12th grade students. Although every college has its own policy, credit will often be granted if the student receives a 4 or a 5 on the AP Exam.
TDS11|Technology Graphic Communications|None|Being able to communicate information about technology is the primary reason we teach Technology Graphic Communications. Technical sketching, mechanical drawing, technical illustration and computer aided design, are skills that students will learn.
TYS11QT5|Computer Technology|None|An introduction to computer hardware and operation from a technical perspective.
TAS11QP5|Digital Photography|None|Any junior with an interest in photography. This course will fulfill the 5 period Technology requirement or may serve as a senior elective.
TZS11QG5|Graphics Arts Communication|None|Students who are interested in learning about methods of reproducing art work, printed copies, and commercial art and design. This course will satisfy the five period technology requirement and can be taken as an elective.
TDS11QA5|Introduction to Architecture|None|Creative and energetic students interested in learning the fundamental skills and concepts
TDS11QD5|Introduction to Interior Design|None|You will be learning the language of good interior design, the vocabulary to speak about it, and the essential elements that define it.
TMS11QD5|Jewelry Design|None|Students who are interested in creating “wearable art,” through design and scientific application. This course will satisfy the five (5) period Technology requirement or as an unprepared elective.
TMS11QW5|Principles of Technology - Mechanisms|None|Students who are interested in the way things work and would like to investigate, study and create mechanisms out of wood or other materials. This course will satisfy the 5Tech requirement and can also be taken as an unprepared elective.
TQS11QB5|Robotics|None|The Robotics Course is an elective which satisfies the5Techrequirement for graduation. This course is also open to students as an unprepared elective. Anyone who is interested in Robotics, Computer Science, computerized numerically controlled machines (CNC) or in the computerized control of processes and machines should strongly consider this course. Robotics will be extremely useful for students considering the engineering or scientific research fields, as robots and computer controlled tools and machines are playing an ever increasing role.
TCS11QT5|Technical & Scientific Illustration|None|Students interested in technical illustration within the disciplines of architecture, engineering and interior design.
TQS11QV5|Video Production|None|Those students interested in video technology, the theatre, stage and video technology, commercial art and advertising.
TES21QCA & TES22QCA|Advanced Computer Technology, Networking & Internetworking - Cisco Networking Academy|None|Students interested in Computer Science/ Technology and Networking. Students interested in taking the CCNA certification exmaination or Network+ exam.
TQS21QVA & TQS22QVA|Advanced Video Production|None|Anyone interested in making his or her own videos. A strong interest in film (any genre). Anyone interested in the creative possibilities of the video medium.
TMS21QWA & TMS22QWA|Advanced Woodworking|None|Anyone interested in using tools and machines to work with wood will be interested in this course.  This course will be extremely useful for students considering the engineering or scientific research fields because the tools and machines of this course are utilized to build models and research equipment.  Students planning to own a home one day will also find this course very useful.
TDS21QAA & TDS22QAA|Architecture|None|Any student who has an interest in architecture or who is interested in pursuing a career in Architecture, Urban Planning, Architectural Engineering or Engineering.
TMS21QCA & TMS22QCA|Ceramics|None|This course will appeal to anyone interested in exploring the ceramics field from a creative, artistic and technical perspective.
TAS21QPA & TAS22QPA|Photography|None|Any senior with an interest in photography. This course will fulfill the 10 period Technology requirement or may serve as a senior elective.
TQS21QBA|Robotics Engineering|None|The Robotics Engineering Course is an elective that satisfies the Senior Technology Education requirement for graduation. This course is also open to students as an elective. Anyone who is interested in Robotics, Computer Science, or in the computerized control of processes and machines should strongly consider this course. Robotics will be extremely useful for students considering the engineering or scientific research fields, as robots and computer controlled tools and machines are playing an ever-increasing role. Students interested in participating in the FIRST Robotics Competition will also benefit from this course.
AKS11QFV|Digital Video|None|Where does one begin a journey into the world of filmmaking? Film is creative and it is technical. It is a form of personal expression and a universal language. It requires careful logistical planning and inspired spontaneity. It is the product of a single vision and collaborative energy. Film is also the quintessential hybrid art form, finding its expressive power through the unique amalgam of writing, performance, design, photography, music and editing. And all of it matters. Every choice you make, from the largest creative decisions to the smallest practical solutions, has a profound impact on what appears on the screen and how it moves an audience emotionally. - Mick Hurbis-Cherrier
FFS61 & FFS62|French 1 |Full-year course.|No description provided
FFS63 & FFS64|French 2 |Full-year course.|No description provided
FFS65 & FFS66|French 3 |Full-year course.|No description provided
FFS87X & FFS88X|AP French Language & Culture|Full-year course. By application.|This course is intended for students who have successfully completed three prior years of French study and wish to continue developing their speaking, reading and writing skills at a highly advanced level.
FGS61 & FGS62|German 1 |Full-year course.|No description provided
FGS63 & FGS64|German 2 |Full-year course.|No description provided
FGS65 & FGS66|German 3 |Full-year course.|No description provided
FTS61 & FTS62|Italian 1 |Full-year course. Not offered at this time.|No description provided
FTS63 & FTS64|Italian 2 |Full-year course.|No description provided
FTS65 & FTS66|Italian 3 |Full-year course.|No description provided
FTS87X & FTS88X|AP Italian Language & Culture|Full-year course. By application.|This course is intended for students who have completed 3 years of Italian and who want to continue with their studies of the Italian language and culture.
FJS61 & FJS62|Japanese 1 |Full-year course.|No description provided
FJS63 & FJS64|Japanese 2 |Full-year course.|No description provided
FJS65 & FJS66|Japanese 3 |Full-year course.|No description provided
FJS87X & FJS88X|AP Japanese Language|Full-year course. By application.|This course is intended for students who have completed 3 years of Japanese and who want to continue with their studies of Japanese language, history and culture. Students will be prepared with the necessary skills and literary background for the Advanced Placement Chinese Language Exam in May.
FLS61 & FLS62|Latin 1 |Full-year course.|No description provided
FLS63 & FLS64|Latin 2 |Full-year course.|No description provided
FLS65 & FLS66|Latin 3 |Full-year course.|No description provided
FLS87X & FLS88X|AP Latin Literature|Full-year course. By application.|This course is only open to students who have completed Latin Level III.
FMS61 & FMS62|Mandarin 1 |Full-year course.|No description provided
FMS63 & FMS64|Mandarin 2 |Full-year course.|No description provided
FMS65 & FMS66|Mandarin 3 |Full-year course.|No description provided
FMS87X & FMS88X|AP Mandarin Chinese Language|Full-year course. By application.|AP Chinese language class is designed for students who have reached the level of 3 years of the Chinese language study, have demonstrated competency in the language basics and may wish to pursue these studies at the University-level and/or broaden their knowledge of the language in the cultural context. At the conclusion of the course, students are prepared with the necessary language skills and cultural background for the Advanced Placement Chinese Language Exam.
FSS61 & FSS62|Spanish 1 |Full-year course.|No description provided
FSS63 & FSS64|Spanish 2 |Full-year course.|No description provided
FSS65 & FSS66|Spanish 3 |Full-year course.|No description provided
FSS87QT & FSS88QT|Hispanic Themes|Full-year course.|This course is designed for upper level students who wish to improve their writing, reading, speaking, and comprehension skills in Spanish. The course also fulfills the three-year language requirement.
FSSA9QGF & FSSAAQGF|Great Films From Spanish Speaking Countries (5th Year Course)|Full-year course.|This course is designed for students who have already taken either AP Spanish Language or FSS87QT & FSS88QT Hispanic Themes, and would like to continue a fifth year of language in order to expand upon their knowledge and practical use of Spanish with an emphasis on the three modes of communication: interpersonal, interpretive, and presentational.
FSS87X & FSS88X|AP Spanish Language & Culture|Full-year course. By application.|This course is designed for students who have completed 3 years of Spanish and have become proficient in the basics of the language and who now wish to make their proficiency a life long skill. Students will be prepared with the necessary skills and literary background for the Advanced Placement Spanish Language Exam. By enrolling in FSS87X in the fall you will automatically be programmed for FSS88X in the spring
HGS41 & HGS42|Global History 1 & 2|Full-year course.|This is the required Social Studies course for students in the ninth grade.
HPS21X & HPS22X|AP Human Geography|Full-year course.|AP Human Geography is a year-long college level course designed for students entering the 9th grade. Students who are interested in history, geography and cultural anthropology are encouraged to apply.
